All-Genes	Product	Pathways of gene	Accession-1
aaeA	p-hydroxybenzoic acid efflux subunit AaeA		E2348C_3512
aaeB	p-hydroxybenzoic acid efflux subunit AaeB		E2348C_3511
aaeR	DNA-binding transcriptional regulator		E2348C_3514
aaeX	hypothetical protein		E2348C_3513
aas	bifunctional acyl-[acyl carrier protein] synthetase/2-acylglycerophosphoethanolamine acyltransferase	heptadecane biosynthesis	E2348C_3106
aat	leucyl/phenylalanyl-tRNA--protein transferase		E2348C_0881
abrB	regulator		E2348C_0598
accA	acetyl-CoA carboxylase carboxyltransferase subunit alpha	"fatty acid biosynthesis initiation I // ""biotin-carboxyl carrier protein assembly"""	E2348C_0190
accB	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	fatty acid biosynthesis initiation I	E2348C_3525
accC	acetyl-CoA carboxylase biotin carboxylase subunit	"biotin-carboxyl carrier protein assembly // ""fatty acid biosynthesis initiation I"""	E2348C_3526
accD	acetyl-CoA carboxylase subunit beta	"fatty acid biosynthesis initiation I // ""biotin-carboxyl carrier protein assembly"""	E2348C_2456
aceA	isocitrate lyase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"" // ""glyoxylate cycle"""	E2348C_4318
aceB	malate synthase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"" // ""glyoxylate cycle"" // ""glycolate and glyoxylate degradation II"""	E2348C_4317
